0,0	23,3	
0,2	22,7	
0,5	23,4	
0,8	22,8	
1,0	23,1	
1,2	22,4	
1,5	24,0	
1,8	22,5	
2,0	23,7	
2,2	22,7	
2,5	23,9	
2,8	22,9	
3,0	24,3	
3,2	23,1	
3,5	23,9	
3,8	22,8	
4,0	23,6	
4,2	22,9	
4,5	23,6	
4,8	21,9	
5,0	23,6	
5,2	22,5	
5,5	23,8	
5,8	22,6	
6,0	23,5	
6,2	22,7	
6,5	23,8	
6,8	22,6	
7,0	24,3	
7,2	22,7	
7,5	23,8	
7,8	22,7	
8,0	23,8	
8,2	22,7	
8,5	24,7	
8,8	22,9	
9,0	24,4	
9,2	22,8	
9,5	24,5	
9,8	22,5	
10,0	23,9	
10,2	22,6	
10,5	24,4	
10,8	23,1	
11,0	24,2	
11,2	22,6	
11,5	24,5	
11,8	22,5	
12,0	24,4	
12,2	22,4	
12,5	24,8	
12,8	22,2	
13,0	23,9	
13,2	22,6	
13,5	24,0	
13,8	22,7	
14,0	23,9	
14,2	22,6	
14,5	23,5	
14,8	22,7	
15,0	23,5	
15,2	22,7	
15,5	23,4	
15,8	23,3	
16,0	23,5	
16,2	23,3	
16,5	23,4	
16,8	23,3	
17,0	23,4	
17,2	23,3	
17,5	23,4	
17,8	23,3	
18,0	23,4	
18,2	23,2	
18,5	23,4	
18,8	23,4	
19,0	23,5	
19,2	23,4	
19,5	23,5	
19,8	23,3	
20,0	23,4	
20,2	23,3	
20,5	23,5	
20,8	23,4	
21,0	23,6	
21,2	23,4	
21,5	23,7	
21,8	23,4	
22,0	23,7	
22,2	23,4	
22,5	23,5	
22,8	23,5	
23,0	23,6	
23,2	23,5	
23,5	23,5	
23,8	23,5	
24,0	23,5	
24,2	23,4	
24,5	23,5	
24,8	23,4	
25,0	23,4	
25,2	23,6	
25,5	23,5	
25,8	23,4	
26,0	23,5	
26,2	23,4	
26,5	23,6	
26,8	23,4	
27,0	23,5	
27,2	23,4	
27,5	23,5	
27,8	23,4	
28,0	23,5	
28,2	23,5	
28,5	23,5	
28,8	23,4	
29,0	23,6	
29,2	23,3	
29,5	23,5	
29,8	23,4	
30,0	23,5	
30,2	23,5	
30,5	23,6	
30,8	23,6	
31,0	23,6	
31,2	23,5	
31,5	23,3	
31,8	23,9	
32,0	23,3	
32,2	23,8	
32,5	23,9	
32,8	23,6	
33,0	23,5	
33,2	23,8	
33,5	23,3	
33,8	23,5	
34,0	23,5	
34,2	23,6	
34,5	23,7	
34,8	23,9	
35,0	23,3	
35,2	23,2	
35,5	23,2	
35,8	23,6	
36,0	23,4	
36,2	23,6	
36,5	23,7	
36,8	23,9	
37,0	23,8	
