2177336,1537,108
2187336,1548,119
2197336,1527,98
2207336,1540,111
2217336,1509,80
2227336,1531,102
2237336,1514,85
2247336,1526,97
2257336,1499,70
2267336,1503,74
2277336,1498,69
2287336,1516,87
2297336,1492,63
2307336,1505,76
2317336,1473,44
2327336,1504,75
2337336,1485,56
2347336,1489,60
2357336,1484,55
2367336,1497,68
2377336,1475,46
2387336,1492,63
2397336,1471,42
2407336,1488,59
2417336,1462,33
2427336,1483,54
2437336,1462,33
2447336,1482,53
2457336,1444,15
2467336,1480,51
2477336,1456,27
2487336,1474,45
2497336,1450,21
2507336,1474,45
2517336,1444,15
2527336,1457,28
2537336,1455,26
2547336,1465,36
2557336,1451,22
2567336,1457,28
2577336,1429,0
2587336,1468,39
2597336,1456,27
2607336,1466,37
2617336,1441,12
2627336,1457,28
2637336,1460,31
2647336,1459,30
2657336,1440,11
2667336,1446,17
2677336,1439,10
2687336,1460,31
2697336,1438,9
2707336,1451,22
2717336,1434,5
2727336,1458,29
2737336,1432,3
2747336,1436,7
2757336,1419,0
2767336,1448,19
2777336,1424,0
2787336,1449,20
2797336,1426,0
2807336,1457,28
2817336,1415,0
2827336,1455,26
2837336,1440,11
2847336,1459,30
2857336,1420,0
2867336,1455,26
2877336,1426,0
2887336,1433,4
2897336,1428,0
2907336,1431,2
2917336,1417,0
2927336,1451,22
2937336,1427,0
2947336,1441,12
2957336,1428,0
2967336,1443,14
2977336,1436,7
2987336,1433,4
2997336,1422,0
3007336,1445,16
3017336,1418,0
3027336,1445,16
3037336,1412,0
3047336,1429,0
3057336,1421,0
3067336,1442,13
3077336,1427,0
3087336,1446,17
3097336,1396,0
3107336,1432,3
3117336,1416,0
3127336,1431,2
3137336,1429,0
3147336,1444,15
3157336,1411,0
3167336,1442,13
3177336,1411,0
3187336,1452,23
3197336,1417,0
3207336,1442,13
3217336,1410,0
3227336,1439,10
3237336,1416,0
3247336,1433,4
3257336,1422,0
3267336,1434,5
3277336,1429,0
3287336,1432,3
3297336,1431,2
3307336,1442,13
3317336,1405,0
3327336,1434,5
3337336,1417,0
3347336,1449,20
3357336,1420,0
3367336,1455,26
3377336,1418,0
3387336,1442,13
3397336,1417,0
3407336,1433,4
3417336,1417,0
3427336,1437,8
3437336,1410,0
3447336,1437,8
3457336,1414,0
3467336,1433,4
3477336,1424,0
3487336,1447,18
3497336,1413,0
3507336,1437,8
3517336,1414,0
3527336,1433,4
3537336,1417,0
3547336,1438,9
3557336,1414,0
3567336,1439,10
3577336,1438,9
3587336,1426,0
3597336,1415,0
3607336,1430,1
3617336,1416,0
3627336,1439,10
3637336,1417,0
3647336,1435,6
3657336,1419,0
3667336,1433,4
3677336,1412,0
3687336,1434,5
3697336,1433,4
3707336,1431,2
3717336,1413,0
3727336,1431,2
3737336,1408,0
3747336,1426,0
3757336,1420,0
3767336,1436,7
3777336,1406,0
3787336,1437,8
3797336,1416,0
3807336,1426,0
3817336,1413,0
3827336,1440,11
3837336,1421,0
3847336,1451,22
3857336,1416,0
3867336,1431,2
3877336,1420,0
3887336,1442,13
3897336,1415,0
3907336,1433,4
3917336,1411,0
3927336,1445,16
3937336,1413,0
3947336,1433,4
3957336,1409,0
3967336,1438,9
3977336,1415,0
3987336,1431,2
3997336,1422,0
4007336,1433,4
4017336,1430,1
4027336,1441,12
4037336,1420,0
4047336,1426,0
4057336,1407,0
4067336,1433,4
4077336,1416,0
4087336,1437,8
4097336,1418,0
4107336,1439,10
4117336,1435,6
4127336,1444,15
4137336,1408,0
4147336,1440,11
4157336,1429,0
4167336,1435,6
4177336,1420,0
4187336,1440,11
4197336,1417,0
4207336,1430,1
4217336,1426,0
4227336,1429,0
4237336,1429,0
4247336,1435,6
4257336,1409,0
4267336,1435,6
4277336,1412,0
4287336,1440,11
4297336,1427,0
4307336,1450,21
4317336,1434,5
4327336,1433,4
4337336,1419,0
4347336,1435,6
4357336,1414,0
4367336,1440,11
4377336,1417,0
4387336,1436,7
4397336,1424,0
4407336,1435,6
4417336,1417,0
4427336,1430,1
4437336,1422,0
4447336,1434,5
4457336,1412,0
4467336,1431,2
4477336,1414,0
4487336,1429,0
4497336,1428,0
4507336,1424,0
4517336,1416,0
4527336,1435,6
4537336,1403,0
4547336,1433,4
4557336,1423,0
4567336,1432,3
4577336,1414,0
4587336,1436,7
4597336,1414,0
4607336,1444,15
4617336,1419,0
4627336,1435,6
4637336,1427,0
4647336,1438,9
4657336,1408,0
4667336,1434,5
4677336,1409,0
4687336,1439,10
4697336,1409,0
4707336,1443,14
4717336,1421,0
4727336,1461,32
4737336,1417,0
4747336,1442,13
4757336,1413,0
4767336,1445,16
4777336,1418,0
4787336,1444,15
4797336,1427,0
4807336,1430,1
4817336,1413,0
4827336,1437,8
4837336,1420,0
4847336,1424,0
4857336,1426,0
4867336,1439,10
4877336,1411,0
4887336,1427,0
4897336,1419,0
4907336,1452,23
4917336,1408,0
4927336,1429,0
4937336,1413,0
4947336,1442,13
4957336,1421,0
4967336,1453,24
4977336,1418,0
4987336,1437,8
4997336,1415,0
5007336,1439,10
5017336,1424,0
5027336,1436,7
5037336,1429,0
5047336,1442,13
5057336,1424,0
5067336,1447,18
5077336,1425,0
5087336,1433,4
5097336,1408,0
5107336,1429,0
5117336,1421,0
5127336,1443,14
5137336,1418,0
5147336,1443,14
5157336,1439,10
5167336,1444,15
5177336,1408,0
5187336,1455,26
5197336,1409,0
5207336,1436,7
5217336,1422,0
5227336,1441,12
5237336,1421,0
5247336,1436,7
5257336,1420,0
5267336,1443,14
5277336,1406,0
